"LANGUAGE","Čeština",""
"MOD_DESCRIPTION","Přidává do hry vlastní rozhlasové stanice",""
"WHATSNEW_L1","Tato zpráva je pouze pro informaci, že mod byl aktualizován.",""
"WHATSNEW_L2","Podrobný seznam změn naleznete na Steam Workshopu nebo na GitHubu.",""
"WHATSNEW_L3","Děkujeme za vaše používání a podporu!",""
"ERROR","Jejda! Něco se pokazilo:",""
"ERROR_COPY","Kopírovat",""
"ERROR_SUPPORT","Podpora",""
"TAB_INFO","Informace",""
"TAB_CHANNELS","Kanály",""
"TAB_CONT","Obsah",""
"TAB_SHORTCUTS","Klávesové zkratky",""
"TAB_UI","Uživatelské rozhraní",""
"PERF","Výkon",""
"PERF_TIP","Pokud máte problémy s výkonem, můžete zkusit vypnout funkce označené hvězdičkou (*).",""
"CHANNELS_CONT","Kanály a obsah",""
"CHANNELS_CONT_TIP","Vlastní kanály nebo hudbu můžete přidat instalací hudebních balíčků, vložením konfigurací stanic nebo hudebních souborů do složky ""CSLMusicMod_Music"" nebo do složky obsahující původní rozhlasový obsah.",""
"TRBL","Řešení problémů",""
"TRBL_TIP","You can find information in the CSL Music Mod Wiki and the Steam Workshop entry.
Don't forget to enable the setting below if you want to provide a log.",""
"VANILLA_CHANNELS","Spravovat původní kanály",""
"MUSIC_PACKS","Hudební balíčky (vyžaduje znovunačtení)",""
"ENABLE_MUSIC_PACKS","Používat hudbu z hudebních balíčků",""
"CREATE_CHANNELS_FROM_LEGACY","Vytvářet kanály z nepoužívaných hudebních souborů",""
"CHANNEL_ALL_CONT","Kanál se vším obsahem (vyžaduje znovunačtení)",""
"CREATE_MIX_CHANNEL","Vytvořit kanál ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Zahrnout původní skladby",""
"INCLUDE_MUSIC","Zahrnout hudbu",""
"INCLUDE_BLURBS","Zahrnout znělky",""
"INCLUDE_TALKS","Zahrnout rozhovory",""
"INCLUDE_COMMERCIALS","Zahrnout reklamy",""
"INCLUDE_BROADCASTS","Zahrnout vysílání",""
"ADD_FEAT","Další funkce",""
"DISABLED_CONT","Obsah lze zakázat",""
"CONT_SENS","Kontextově závislý obsah",""
"SMOOTH_TRANS","Plynulé přechody",""
"ADD_CONT_TO_VANILLA","Rozšířit původní stanice vlastním obsahem (vyžaduje znovunačtení)",""
"RESET_DISABLED","Obnovit zakázaný obsah",""
"RADIO_CONT","Obsah rozhlasové stanice (vyžaduje znovunačtení)",""
"ENABLE_MUSIC","Povolit hudbu",""
"ENABLE_BLURBS","Povolit znělky",""
"ENABLE_TALKS","Povolit rozhovory",""
"ENABLE_COMMERCIALS","Povolit reklamy",""
"ENABLE_BROADCASTS","Povolit vysílání",""
"SHOUTCUT_OPENPLAYLIST","Otevřít seznam skladeb a nastavení",""
"SHOUTCUT_NEXTTRACK","Další skladba",""
"SHOUTCUT_NEXTSTATION","Další stanice",""
"ENABLE_PLAYLIST","Povolit seznam skladeb*",""
"IMPROVED_RADIO_SELECTION","Vylepšený výběr rozhlasové stanice (vyžaduje znovunačtení)",""
"OPEN_DIR","Tlačítko otevření adresáře stanic",""
"DISABLE_CONT_CHECKBOXES","Zaškrtávací políčka pro zakázání obsahu",""
"VOLUMESLIDER","Přetažením změníte hlasitost hudby",""
"SORT_ASCEND","Seřadit vzestupně",""
"SORT_DESCEND","Seřadit sestupně",""
"CLOSE_PANEL","Zavřít tento panel",""
"SHOW_PLAYLIST","Zobrazí/skryje seznam skladeb",""
"BUTTON_OPENDIR","Otevřít složku obsahující rozhlasovou stanici.",""
"NOT_RADIO","Tento kanál není rozhlasový kanál. Vaši vlastní hudbu
najdete v ""Uživatelsky definované"", ""CSLMusic Mix"" a
kanálech vytvořených hudebními balíčky.",""
"NO_RESULTS","Nebyly nalezeny žádné výsledky.",""
"DISABLE_CONT_CHECKBOXES_TIP","Poklepáním položku zakážete.",""
"USERDEFINED","Uživatelsky definované",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Obnovit nastavení",""
