"LANGUAGE","Deutsch",""
"MOD_DESCRIPTION","Fügt dem Spiel benutzerdefinierte Radiostationen hinzu",""
"WHATSNEW_L1","Diese Nachricht soll Sie nur darüber informieren, dass der Mod aktualisiert wurde.",""
"WHATSNEW_L2","Eine detaillierte Liste der Änderungen finden Sie im Steam Workshop oder auf GitHub.",""
"WHATSNEW_L3","Vielen Dank für Ihren Einsatz und Ihre Unterstützung!",""
"ERROR","Ups! Irgendetwas lief schief:",""
"ERROR_COPY","Kopieren",""
"ERROR_SUPPORT","Support",""
"TAB_INFO","Info",""
"TAB_CHANNELS","Kanäle",""
"TAB_CONT","Inhalt",""
"TAB_SHORTCUTS","Tastenkombinationen",""
"TAB_UI","Benutzeroberfläche",""
"PERF","Leistung",""
"PERF_TIP","Wenn Sie Leistungsprobleme haben, können Sie versuchen, Funktionen zu deaktivieren, die mit einem Sternchen (*) markiert sind.",""
"CHANNELS_CONT","Kanäle & Inhalt",""
"CHANNELS_CONT_TIP","Sie können eigene Kanäle oder Musik hinzufügen, indem Sie Musikpakete installieren, Stationskonfigurationen oder Musikdateien in den Ordner ""CSLMusicMod_Music"" oder in den Ordner legen, der die ursprünglichen Radioinhalte enthält.",""
"TRBL","Fehlerbehebung",""
"TRBL_TIP","Sie finden Informationen im CSL Music Mod Wiki und im Steam Workshop-Eintrag.
Vergessen Sie nicht, ""Detaillierte Debug-Protokollierung aktivieren"" zu aktivieren, wenn Sie ein Protokoll bereitstellen möchten.",""
"VANILLA_CHANNELS","Ursprüngliche Kanäle verwalten",""
"MUSIC_PACKS","Musikpakete (Neuladen erforderlich)",""
"ENABLE_MUSIC_PACKS","Musik aus Musikpaketen verwenden",""
"CREATE_CHANNELS_FROM_LEGACY","Kanäle aus ungenutzten Musikdateien erstellen",""
"CHANNEL_ALL_CONT","Kanal mit allen Inhalten (Neuladen erforderlich)",""
"CREATE_MIX_CHANNEL","""CSLMusic Mix""-Kanal erstellen",""
"INCLUDE_VANILLA_SONGS","Ursprüngliche Songs einbeziehen",""
"INCLUDE_MUSIC","Musik einbeziehen",""
"INCLUDE_BLURBS","Jingles einbeziehen",""
"INCLUDE_TALKS","Gespräche einbeziehen",""
"INCLUDE_COMMERCIALS","Werbung einbeziehen",""
"INCLUDE_BROADCASTS","Sendungen einbeziehen",""
"ADD_FEAT","Zusätzliche Funktionen",""
"DISABLED_CONT","Inhalt kann deaktiviert werden",""
"CONT_SENS","Kontextsensitiver Inhalt",""
"SMOOTH_TRANS","Sanfte Übergänge",""
"ADD_CONT_TO_VANILLA","Ursprüngliche Stationen mit benutzerdefiniertem Inhalt erweitern (Neuladen erforderlich)",""
"RESET_DISABLED","Deaktivierte Inhalte zurücksetzen",""
"RADIO_CONT","Radiostationsinhalt (Neuladen erforderlich)",""
"ENABLE_MUSIC","Musik aktivieren",""
"ENABLE_BLURBS","Jingles aktivieren",""
"ENABLE_TALKS","Gespräche aktivieren",""
"ENABLE_COMMERCIALS","Werbung aktivieren",""
"ENABLE_BROADCASTS","Sendungen aktivieren",""
"SHOUTCUT_OPENPLAYLIST","Wiedergabeliste und Einstellungen öffnen",""
"SHOUTCUT_NEXTTRACK","Nächster Titel",""
"SHOUTCUT_NEXTSTATION","Nächster Sender",""
"ENABLE_PLAYLIST","Playlists aktivieren",""
"IMPROVED_RADIO_SELECTION","Verbesserte Auswahl von Radiosendern (benötigt Nachladen)",""
"OPEN_DIR","Schaltfläche ""Senderverzeichnis öffnen""",""
"DISABLE_CONT_CHECKBOXES","Kontrollkästchen zum Deaktivieren von Inhalten",""
"VOLUMESLIDER","Ziehen, um die Musiklautstärke zu ändern",""
"SORT_ASCEND","Aufsteigend sortieren",""
"SORT_DESCEND","Absteigend sortieren",""
"CLOSE_PANEL","Dieses Panel schließen",""
"SHOW_PLAYLIST","Zeigt/versteckt die Wiedergabeliste",""
"BUTTON_OPENDIR","Ordner öffnen, der die Radiostation enthält.",""
"NOT_RADIO","Dieser Kanal ist kein Radiokanal. Ihre benutzerdefinierte Musik
finden Sie unter ""Benutzerdefiniert"", ""CSLMusic Mix"" und
Kanälen, die von Musikpaketen erstellt wurden.",""
"NO_RESULTS","Keine Ergebnisse gefunden.",""
"DISABLE_CONT_CHECKBOXES_TIP","Doppelklicken, um einen Eintrag zu deaktivieren.",""
"USERDEFINED","Benutzerdefiniert",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Einstellungen zurücksetzen",""
