"LANGUAGE","Español",""
"MOD_DESCRIPTION","Añade emisoras de radio personalizadas al juego",""
"WHATSNEW_L1","Este mensaje es solo para informarle que el mod se ha actualizado.",""
"WHATSNEW_L2","Para obtener una lista detallada de los cambios, consulte Steam Workshop o GitHub.",""
"WHATSNEW_L3","¡Gracias por su uso y apoyo!",""
"ERROR","¡Ups! Algo salió mal:",""
"ERROR_COPY","Copiar",""
"ERROR_SUPPORT","Asistencia",""
"TAB_INFO","Información",""
"TAB_CHANNELS","Canales",""
"TAB_CONT","Contenido",""
"TAB_SHORTCUTS","Atajos",""
"TAB_UI","Interfaz de usuario",""
"PERF","Rendimiento",""
"PERF_TIP","Si tienes problemas de rendimiento, puedes intentar desactivar las funciones marcadas con un asterisco (*).",""
"CHANNELS_CONT","Canales y contenido",""
"CHANNELS_CONT_TIP","Puedes añadir tus propios canales o música instalando paquetes de música, colocando configuraciones de emisoras o archivos de música en la carpeta ""CSLMusicMod_Music"" o en la carpeta que contiene el contenido de radio original del juego.",""
"TRBL","Resolución de problemas",""
"TRBL_TIP","Puedes encontrar información en la Wiki de CSL Music Mod y en la entrada de Steam Workshop. No olvides activar ""Habilitar registro de depuración detallado"" si quieres proporcionar un registro.",""
"VANILLA_CHANNELS","Gestionar canales originales",""
"MUSIC_PACKS","Paquetes de música (Requiere recarga)",""
"ENABLE_MUSIC_PACKS","Usar música de paquetes de música",""
"CREATE_CHANNELS_FROM_LEGACY","Crear canales a partir de archivos de música no utilizados",""
"CHANNEL_ALL_CONT","Canal con todo el contenido (Requiere recarga)",""
"CREATE_MIX_CHANNEL","Crear canal ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Incluir canciones originales",""
"INCLUDE_MUSIC","Incluir música",""
"INCLUDE_BLURBS","Incluir jingles",""
"INCLUDE_TALKS","Incluir charlas",""
"INCLUDE_COMMERCIALS","Incluir anuncios",""
"INCLUDE_BROADCASTS","Incluir emisiones",""
"ADD_FEAT","Funciones adicionales",""
"DISABLED_CONT","El contenido se puede desactivar",""
"CONT_SENS","Contenido sensible al contexto",""
"SMOOTH_TRANS","Transiciones suaves",""
"ADD_CONT_TO_VANILLA","Extender emisoras originales con contenido personalizado (Requiere recarga)",""
"RESET_DISABLED","Restablecer contenidos desactivados",""
"RADIO_CONT","Contenido de la emisora de radio (Requiere recarga)",""
"ENABLE_MUSIC","Activar música",""
"ENABLE_BLURBS","Activar jingles",""
"ENABLE_TALKS","Activar charlas",""
"ENABLE_COMMERCIALS","Activar anuncios",""
"ENABLE_BROADCASTS","Activar emisiones",""
"SHOUTCUT_OPENPLAYLIST","Abrir lista de reproducción y ajustes",""
"SHOUTCUT_NEXTTRACK","Siguiente pista",""
"SHOUTCUT_NEXTSTATION","Próxima estación",""
"ENABLE_PLAYLIST","Activar lista de reproducción*",""
"IMPROVED_RADIO_SELECTION","Selección mejorada de emisoras de radio (Requiere recarga)",""
"OPEN_DIR","Botón para abrir el directorio de estaciones",""
"DISABLE_CONT_CHECKBOXES","Casillas de verificación para desactivar contenido",""
"VOLUMESLIDER","Arrastra para cambiar el volumen de la música",""
"SORT_ASCEND","Ordenar ascendente",""
"SORT_DESCEND","Ordenar descendente",""
"CLOSE_PANEL","Cerrar este panel",""
"SHOW_PLAYLIST","Muestra/oculta la lista de reproducción",""
"BUTTON_OPENDIR","Abrir carpeta que contiene la emisora de radio.",""
"NOT_RADIO","Este canal no es una emisora de radio. Tu música personalizada se puede encontrar en ""Definido por el usuario"", ""CSLMusic Mix"" y en los canales creados por paquetes de música.",""
"NO_RESULTS","No se encontraron resultados.",""
"DISABLE_CONT_CHECKBOXES_TIP","Haz doble clic para desactivar una entrada.",""
"USERDEFINED","Definido por el usuario",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Restablecer ajustes",""
