"LANGUAGE","Suomi",""
"MOD_DESCRIPTION","Lisää peliin mukautettuja radioasemia",""
"WHATSNEW_L1","Tämä viesti on vain tiedoksi, että modia on päivitetty.",""
"WHATSNEW_L2","Yksityiskohtaisen muutoslistan saat Steam Workshopista tai GitHubista.",""
"WHATSNEW_L3","Kiitos käytöstä ja tuestasi!",""
"ERROR","Hups! Jokin meni pieleen:",""
"ERROR_COPY","Kopioi",""
"ERROR_SUPPORT","Tuki",""
"TAB_INFO","Tiedot",""
"TAB_CHANNELS","Kanavat",""
"TAB_CONT","Sisältö",""
"TAB_SHORTCUTS","Pikanäppäimet",""
"TAB_UI","Käyttöliittymä",""
"PERF","Suorituskyky",""
"PERF_TIP","Jos sinulla on suorituskykyongelmia, voit yrittää poistaa käytöstä tähdellä (*) merkityt ominaisuudet.",""
"CHANNELS_CONT","Kanavat & Sisältö",""
"CHANNELS_CONT_TIP","Voit lisätä omia kanavia tai musiikkia asentamalla musiikkipaketteja, sijoittamalla aseman asetustiedostot tai musiikkitiedostot ""CSLMusicMod_Music""-kansioon tai kansioon, joka sisältää alkuperäisen radion sisällön.",""
"TRBL","Vianetsintä",""
"TRBL_TIP","You can find information in the CSL Music Mod Wiki and the Steam Workshop entry.
Don't forget to enable the setting below if you want to provide a log.",""
"VANILLA_CHANNELS","Hallitse alkuperäisiä kanavia",""
"MUSIC_PACKS","Musiikkipaketit (vaatii uudelleenlatauksen)",""
"ENABLE_MUSIC_PACKS","Käytä musiikkipakettien musiikkia",""
"CREATE_CHANNELS_FROM_LEGACY","Luo kanavia käyttämättömistä musiikkitiedostoista",""
"CHANNEL_ALL_CONT","Kaiken sisältävä kanava (vaatii uudelleenlatauksen)",""
"CREATE_MIX_CHANNEL","Luo ""CSLMusic Mix""-kanava",""
"INCLUDE_VANILLA_SONGS","Sisällytä alkuperäiset kappaleet",""
"INCLUDE_MUSIC","Sisällytä musiikki",""
"INCLUDE_BLURBS","Sisällytä tunnusmusiikit",""
"INCLUDE_TALKS","Sisällytä keskusteluohjelmat",""
"INCLUDE_COMMERCIALS","Sisällytä mainokset",""
"INCLUDE_BROADCASTS","Sisällytä lähetykset",""
"ADD_FEAT","Lisäominaisuudet",""
"DISABLED_CONT","Sisältö voidaan poistaa käytöstä",""
"CONT_SENS","Kontekstille herkkä sisältö",""
"SMOOTH_TRANS","Sulavat siirtymät",""
"ADD_CONT_TO_VANILLA","Laajenna alkuperäisiä asemia mukautetulla sisällöllä (vaatii uudelleenlatauksen)",""
"RESET_DISABLED","Nollaa poistetut sisällöt",""
"RADIO_CONT","Radioaseman sisältö (vaatii uudelleenlatauksen)",""
"ENABLE_MUSIC","Ota musiikki käyttöön",""
"ENABLE_BLURBS","Ota tunnusmusiikit käyttöön",""
"ENABLE_TALKS","Ota keskusteluohjelmat käyttöön",""
"ENABLE_COMMERCIALS","Ota mainokset käyttöön",""
"ENABLE_BROADCASTS","Ota lähetykset käyttöön",""
"SHOUTCUT_OPENPLAYLIST","Avaa soittolista ja asetukset",""
"SHOUTCUT_NEXTTRACK","Seuraava kappale",""
"SHOUTCUT_NEXTSTATION","Seuraava asema",""
"ENABLE_PLAYLIST","Ota soittolista käyttöön*",""
"IMPROVED_RADIO_SELECTION","Parannettu radioaseman valinta (vaatii uudelleenlatauksen)",""
"OPEN_DIR","Avaa asemaluettelon painike",""
"DISABLE_CONT_CHECKBOXES","Valintaruudut sisällön poistamiseen käytöstä",""
"VOLUMESLIDER","Vedä muuttaaksesi musiikin äänenvoimakkuutta",""
"SORT_ASCEND","Lajittele nousevasti",""
"SORT_DESCEND","Lajittele laskevasti",""
"CLOSE_PANEL","Sulje tämä paneeli",""
"SHOW_PLAYLIST","Näyttää/piilottaa soittolistan",""
"BUTTON_OPENDIR","Avaa radioaseman sisältävä kansio.",""
"NOT_RADIO","Tämä kanava ei ole radio-kanava. Oma musiikkisi
löytyy ""Käyttäjän määrittelemät"", ""CSLMusic Mix"" ja
musiikkipakettien luomista kanavista.",""
"NO_RESULTS","Tuloksia ei löytynyt.",""
"DISABLE_CONT_CHECKBOXES_TIP","Kaksoisnapsauta poistaaksesi kohteen käytöstä.",""
"USERDEFINED","Käyttäjän määrittelemät",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Nollaa asetukset",""
