"LANGUAGE","Français",""
"MOD_DESCRIPTION","Ajoute des stations de radio personnalisées au jeu",""
"WHATSNEW_L1","Ce message est simplement pour vous informer que le mod a été mis à jour.",""
"WHATSNEW_L2","Pour une liste détaillée des modifications, veuillez visiter le Steam Workshop ou GitHub.",""
"WHATSNEW_L3","Merci pour votre utilisation et votre soutien !",""
"ERROR","Oups ! Quelque chose s'est mal passé :",""
"ERROR_COPY","Copier",""
"ERROR_SUPPORT","Support",""
"TAB_INFO","Informations",""
"TAB_CHANNELS","Chaînes",""
"TAB_CONT","Contenu",""
"TAB_SHORTCUTS","Raccourcis",""
"TAB_UI","Interface utilisateur",""
"PERF","Performance",""
"PERF_TIP","Si vous rencontrez des problèmes de performance, vous pouvez essayer de désactiver les fonctionnalités marquées d'un astérisque (*).",""
"CHANNELS_CONT","Chaînes et contenu",""
"CHANNELS_CONT_TIP","Vous pouvez ajouter vos propres chaînes ou musiques en installant des packs de musique, en plaçant des configurations de station ou des fichiers musicaux dans le dossier ""CSLMusicMod_Music"" ou dans le dossier contenant le contenu radio d'origine.",""
"TRBL","Dépannage",""
"TRBL_TIP","Vous pouvez trouver des informations dans le Wiki du CSL Music Mod et la page du Steam Workshop.
N'oubliez pas d'activer le paramètre ci-dessous si vous souhaitez fournir un journal.",""
"VANILLA_CHANNELS","Gérer les chaînes d'origine",""
"MUSIC_PACKS","Packs de musique (Nécessite un rechargement)",""
"ENABLE_MUSIC_PACKS","Utiliser la musique des packs de musique",""
"CREATE_CHANNELS_FROM_LEGACY","Créer des chaînes à partir de fichiers musicaux inutilisés",""
"CHANNEL_ALL_CONT","Chaîne avec tout le contenu (Nécessite un rechargement)",""
"CREATE_MIX_CHANNEL","Créer la chaîne ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Inclure les chansons d'origine",""
"INCLUDE_MUSIC","Inclure de la musique",""
"INCLUDE_BLURBS","Inclure les jingles",""
"INCLUDE_TALKS","Inclure les émissions parlées",""
"INCLUDE_COMMERCIALS","Inclure les publicités",""
"INCLUDE_BROADCASTS","Inclure les diffusions",""
"ADD_FEAT","Fonctionnalités supplémentaires",""
"DISABLED_CONT","Le contenu peut être désactivé",""
"CONT_SENS","Contenu sensible au contexte",""
"SMOOTH_TRANS","Transitions fluides",""
"ADD_CONT_TO_VANILLA","Étendre les stations d'origine avec du contenu personnalisé (Nécessite un rechargement)",""
"RESET_DISABLED","Réinitialiser les contenus désactivés",""
"RADIO_CONT","Contenu de la station de radio (Nécessite un rechargement)",""
"ENABLE_MUSIC","Activer la musique",""
"ENABLE_BLURBS","Activer les jingles",""
"ENABLE_TALKS","Activer les émissions parlées",""
"ENABLE_COMMERCIALS","Activer les publicités",""
"ENABLE_BROADCASTS","Activer les diffusions",""
"SHOUTCUT_OPENPLAYLIST","Ouvrir la playlist et les paramètres",""
"SHOUTCUT_NEXTTRACK","Piste suivante",""
"SHOUTCUT_NEXTSTATION","Station suivante",""
"ENABLE_PLAYLIST","Activer la playlist*",""
"IMPROVED_RADIO_SELECTION","Sélection de station de radio améliorée (Nécessite un rechargement)",""
"OPEN_DIR","Bouton Ouvrir le répertoire des stations",""
"DISABLE_CONT_CHECKBOXES","Cases à cocher pour désactiver le contenu",""
"VOLUMESLIDER","Glisser pour modifier le volume de la musique",""
"SORT_ASCEND","Trier par ordre croissant",""
"SORT_DESCEND","Trier par ordre décroissant",""
"CLOSE_PANEL","Fermer ce panneau",""
"SHOW_PLAYLIST","Affiche/masque la playlist",""
"BUTTON_OPENDIR","Ouvrir le dossier contenant la station de radio.",""
"NOT_RADIO","Cette chaîne n'est pas une chaîne de radio. Votre musique personnalisée peut être trouvée dans ""Défini par l'utilisateur"", ""CSLMusic Mix"" et les chaînes créées par les packs de musique.",""
"NO_RESULTS","Aucun résultat trouvé.",""
"DISABLE_CONT_CHECKBOXES_TIP","Double-cliquer pour désactiver une entrée.",""
"USERDEFINED","Défini par l'utilisateur",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Réinitialiser les paramètres",""
