"LANGUAGE","Magyar",""
"MOD_DESCRIPTION","Egyedi rádióállomásokat ad a játékhoz",""
"WHATSNEW_L1","Ez az üzenet csak azért szolgál, hogy értesítsen a mod frissítéséről.",""
"WHATSNEW_L2","A változások részletes listájáért látogass el a Steam Workshop-ra vagy a GitHub-ra.",""
"WHATSNEW_L3","Köszönjük a használatot és támogatást!",""
"ERROR","Hoppá! Valami hiba történt:",""
"ERROR_COPY","Másolás",""
"ERROR_SUPPORT","Támogatás",""
"TAB_INFO","Információ",""
"TAB_CHANNELS","Csatornák",""
"TAB_CONT","Tartalom",""
"TAB_SHORTCUTS","Gyorsbillentyűk",""
"TAB_UI","Felhasználói felület",""
"PERF","Teljesítmény",""
"PERF_TIP","Ha teljesítményproblémáid vannak, próbáld meg letiltani a csillaggal (*) jelölt funkciókat.",""
"CHANNELS_CONT","Csatornák és tartalom",""
"CHANNELS_CONT_TIP","Saját csatornákat vagy zenét adhatsz hozzá zenei csomagok telepítésével, rádióállomás-konfigurációk vagy zenefájlok elhelyezésével a ""CSLMusicMod_Music"" mappába vagy az eredeti rádiótartalmat tartalmazó mappába.",""
"TRBL","Hibaelhárítás",""
"TRBL_TIP","Információkat találhatsz a CSL Music Mod Wiki oldalán és a Steam Workshop bejegyzésben.
Ne felejtsd el bekapcsolni az alábbi beállítást, ha naplót szeretnél biztosítani.",""
"VANILLA_CHANNELS","Eredeti csatornák kezelése",""
"MUSIC_PACKS","Zenei csomagok (Újratöltés szükséges)",""
"ENABLE_MUSIC_PACKS","Zene használata zenei csomagokból",""
"CREATE_CHANNELS_FROM_LEGACY","Csatornák létrehozása nem használt zenefájlokból",""
"CHANNEL_ALL_CONT","Összes tartalmat tartalmazó csatorna (Újratöltés szükséges)",""
"CREATE_MIX_CHANNEL","""CSLMusic Mix"" csatorna létrehozása",""
"INCLUDE_VANILLA_SONGS","Eredeti dalok belefoglalása",""
"INCLUDE_MUSIC","Zene belefoglalása",""
"INCLUDE_BLURBS","Rádióazonosítók belefoglalása",""
"INCLUDE_TALKS","Beszélgetések belefoglalása",""
"INCLUDE_COMMERCIALS","Reklámok belefoglalása",""
"INCLUDE_BROADCASTS","Híradások belefoglalása",""
"ADD_FEAT","További funkciók",""
"DISABLED_CONT","Tartalom letiltható",""
"CONT_SENS","Kontextusérzékeny tartalom",""
"SMOOTH_TRANS","Simított átmenetek",""
"ADD_CONT_TO_VANILLA","Eredeti állomások kiterjesztése egyedi tartalommal (Újratöltés szükséges)",""
"RESET_DISABLED","Letiltott tartalmak visszaállítása",""
"RADIO_CONT","Rádióállomás tartalom (Újratöltés szükséges)",""
"ENABLE_MUSIC","Zene engedélyezése",""
"ENABLE_BLURBS","Rádióazonosítók engedélyezése",""
"ENABLE_TALKS","Beszélgetések engedélyezése",""
"ENABLE_COMMERCIALS","Reklámok engedélyezése",""
"ENABLE_BROADCASTS","Híradások engedélyezése",""
"SHOUTCUT_OPENPLAYLIST","Lejátszási lista és beállítások megnyitása",""
"SHOUTCUT_NEXTTRACK","Következő szám",""
"SHOUTCUT_NEXTSTATION","Következő állomás",""
"ENABLE_PLAYLIST","Lejátszási lista engedélyezése*",""
"IMPROVED_RADIO_SELECTION","Továbbfejlesztett rádióállomás-választás (Újratöltés szükséges)",""
"OPEN_DIR","Állomáskönyvtár megnyitása gomb",""
"DISABLE_CONT_CHECKBOXES","Jelölőnégyzetek a tartalom letiltásához",""
"VOLUMESLIDER","Húzd a hangerő beállításához",""
"SORT_ASCEND","Növekvő sorrend",""
"SORT_DESCEND","Csökkenő sorrend",""
"CLOSE_PANEL","Panel bezárása",""
"SHOW_PLAYLIST","Megjeleníti/elrejti a lejátszási listát",""
"BUTTON_OPENDIR","A rádióállomást tartalmazó mappa megnyitása.",""
"NOT_RADIO","Ez a csatorna nem rádiócsatorna. Az egyedi zenéid
a ""Felhasználó által definiált"", a ""CSLMusic Mix"" és
a zenei csomagok által létrehozott csatornákban találhatók.",""
"NO_RESULTS","Nincs találat.",""
"DISABLE_CONT_CHECKBOXES_TIP","Dupla kattintással letiltható egy bejegyzés.",""
"USERDEFINED","Felhasználó által definiált",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Beállítások visszaállítása",""
