"LANGUAGE","Bahasa Indonesia",""
"MOD_DESCRIPTION","Menambahkan stasiun radio kustom ke dalam permainan",""
"WHATSNEW_L1","Pesan ini hanya untuk memberitahu bahwa mod telah diperbarui.",""
"WHATSNEW_L2","Untuk daftar detail perubahan, silakan kunjungi Steam Workshop atau GitHub.",""
"WHATSNEW_L3","Terima kasih atas penggunaan dan support anda!",""
"ERROR","Ups! Ada yang salah:",""
"ERROR_COPY","Salin",""
"ERROR_SUPPORT","Dukungan",""
"TAB_INFO","Info",""
"TAB_CHANNELS","Saluran",""
"TAB_CONT","Konten",""
"TAB_SHORTCUTS","Pintasan",""
"TAB_UI","Antarmuka Pengguna",""
"PERF","Kinerja",""
"PERF_TIP","Jika Anda mengalami masalah kinerja, Anda dapat mencoba menonaktifkan fitur yang ditandai dengan tanda bintang (*).",""
"CHANNELS_CONT","Saluran & Konten",""
"CHANNELS_CONT_TIP","Anda dapat menambahkan saluran atau musik Anda sendiri dengan menginstal paket musik, menempatkan konfigurasi stasiun atau file musik ke dalam folder ""CSLMusicMod_Music"" atau ke dalam folder yang berisi konten radio bawaan.",""
"TRBL","Pemecahan Masalah",""
"TRBL_TIP","You can find information in the CSL Music Mod Wiki and the Steam Workshop entry.
Don't forget to enable the setting below if you want to provide a log.",""
"VANILLA_CHANNELS","Kelola saluran bawaan",""
"MUSIC_PACKS","Paket musik (Perlu dimuat ulang)",""
"ENABLE_MUSIC_PACKS","Gunakan musik dari paket musik",""
"CREATE_CHANNELS_FROM_LEGACY","Buat saluran dari file musik yang tidak digunakan",""
"CHANNEL_ALL_CONT","Saluran dengan semua konten (Perlu dimuat ulang)",""
"CREATE_MIX_CHANNEL","Buat saluran ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Sertakan lagu bawaan",""
"INCLUDE_MUSIC","Sertakan musik",""
"INCLUDE_BLURBS","Sertakan blurb",""
"INCLUDE_TALKS","Sertakan obrolan",""
"INCLUDE_COMMERCIALS","Sertakan iklan",""
"INCLUDE_BROADCASTS","Sertakan siaran",""
"ADD_FEAT","Fitur tambahan",""
"DISABLED_CONT","Konten dapat dinonaktifkan",""
"CONT_SENS","Konten sensitif konteks",""
"SMOOTH_TRANS","Transisi halus",""
"ADD_CONT_TO_VANILLA","Perluas stasiun bawaan dengan konten kustom (Perlu dimuat ulang)",""
"RESET_DISABLED","Atur ulang konten yang dinonaktifkan",""
"RADIO_CONT","Konten stasiun radio (Perlu dimuat ulang)",""
"ENABLE_MUSIC","Aktifkan musik",""
"ENABLE_BLURBS","Aktifkan blurb",""
"ENABLE_TALKS","Aktifkan obrolan",""
"ENABLE_COMMERCIALS","Aktifkan iklan",""
"ENABLE_BROADCASTS","Aktifkan siaran",""
"SHOUTCUT_OPENPLAYLIST","Buka daftar putar dan pengaturan",""
"SHOUTCUT_NEXTTRACK","Lagu berikutnya",""
"SHOUTCUT_NEXTSTATION","Stasiun berikutnya",""
"ENABLE_PLAYLIST","Aktifkan daftar putar*",""
"IMPROVED_RADIO_SELECTION","Pemilihan stasiun radio yang ditingkatkan (Perlu dimuat ulang)",""
"OPEN_DIR","Tombol buka direktori stasiun",""
"DISABLE_CONT_CHECKBOXES","Kotak centang untuk menonaktifkan konten",""
"VOLUMESLIDER","Seret untuk mengubah volume musik",""
"SORT_ASCEND","Urutkan menaik",""
"SORT_DESCEND","Urutkan menurun",""
"CLOSE_PANEL","Tutup panel ini",""
"SHOW_PLAYLIST","Tampilkan/sembunyikan daftar putar",""
"BUTTON_OPENDIR","Buka folder yang berisi stasiun radio.",""
"NOT_RADIO","Saluran ini bukan saluran radio. Musik kustom Anda dapat ditemukan di ""Didefinisikan Pengguna"", ""CSLMusic Mix"" dan saluran yang dibuat oleh paket musik.",""
"NO_RESULTS","Tidak ada hasil yang ditemukan.",""
"DISABLE_CONT_CHECKBOXES_TIP","Klik dua kali untuk menonaktifkan entri.",""
"USERDEFINED","Didefinisikan Pengguna",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Atur Ulang Pengaturan",""
