"LANGUAGE","Italiano",""
"MOD_DESCRIPTION","Aggiunge stazioni radio personalizzate al gioco",""
"WHATSNEW_L1","Questo messaggio serve solo per informarti che la mod è stata aggiornata.",""
"WHATSNEW_L2","Per un elenco dettagliato delle modifiche, visita la Steam Workshop o GitHub.",""
"WHATSNEW_L3","Grazie per il tuo utilizzo e supporto!",""
"ERROR","Ops! Qualcosa è andato storto:",""
"ERROR_COPY","Copia",""
"ERROR_SUPPORT","Supporto",""
"TAB_INFO","Informazioni",""
"TAB_CHANNELS","Canali",""
"TAB_CONT","Contenuto",""
"TAB_SHORTCUTS","Scorciatoie",""
"TAB_UI","Interfaccia utente",""
"PERF","Prestazioni",""
"PERF_TIP","Se hai problemi di prestazioni, puoi provare a disabilitare le funzionalità
contrassegnate con un asterisco (*).",""
"CHANNELS_CONT","Canali e contenuti",""
"CHANNELS_CONT_TIP","Puoi aggiungere i tuoi canali o musica installando pacchetti musicali,
inserendo configurazioni di stazione o file musicali nella cartella ""CSLMusicMod_Music""
o nella cartella che contiene i contenuti radiofonici originali del gioco.",""
"TRBL","Risoluzione dei problemi",""
"TRBL_TIP","Puoi trovare informazioni nel Wiki di CSL Music Mod e nella pagina della Steam Workshop.
Non dimenticare di abilitare l'impostazione qui sotto se vuoi fornire un log.",""
"VANILLA_CHANNELS","Gestisci canali originali",""
"MUSIC_PACKS","Pacchetti musicali (Richiede ricaricamento)",""
"ENABLE_MUSIC_PACKS","Usa musica dai pacchetti musicali",""
"CREATE_CHANNELS_FROM_LEGACY","Crea canali da file musicali non utilizzati",""
"CHANNEL_ALL_CONT","Canale con tutti i contenuti (Richiede ricaricamento)",""
"CREATE_MIX_CHANNEL","Crea canale ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Includi brani originali",""
"INCLUDE_MUSIC","Includi musica",""
"INCLUDE_BLURBS","Includi jingle",""
"INCLUDE_TALKS","Includi talk show",""
"INCLUDE_COMMERCIALS","Includi pubblicità",""
"INCLUDE_BROADCASTS","Includi trasmissioni",""
"ADD_FEAT","Funzionalità aggiuntive",""
"DISABLED_CONT","Il contenuto può essere disabilitato",""
"CONT_SENS","Contenuto sensibile al contesto",""
"SMOOTH_TRANS","Transizioni fluide",""
"ADD_CONT_TO_VANILLA","Estendi le stazioni originali con contenuti personalizzati (Richiede ricaricamento)",""
"RESET_DISABLED","Reimposta contenuti disabilitati",""
"RADIO_CONT","Contenuti della stazione radio (Richiede ricaricamento)",""
"ENABLE_MUSIC","Abilita musica",""
"ENABLE_BLURBS","Abilita jingle",""
"ENABLE_TALKS","Abilita talk show",""
"ENABLE_COMMERCIALS","Abilita pubblicità",""
"ENABLE_BROADCASTS","Abilita trasmissioni",""
"SHOUTCUT_OPENPLAYLIST","Apri playlist e impostazioni",""
"SHOUTCUT_NEXTTRACK","Traccia successiva",""
"SHOUTCUT_NEXTSTATION","Stazione successiva",""
"ENABLE_PLAYLIST","Abilita playlist*",""
"IMPROVED_RADIO_SELECTION","Selezione stazione radio migliorata (Richiede ricaricamento)",""
"OPEN_DIR","Pulsante per aprire la directory delle stazioni",""
"DISABLE_CONT_CHECKBOXES","Caselle di controllo per disabilitare il contenuto",""
"VOLUMESLIDER","Trascina per cambiare il volume della musica",""
"SORT_ASCEND","Ordina crescente",""
"SORT_DESCEND","Ordina decrescente",""
"CLOSE_PANEL","Chiudi questo pannello",""
"SHOW_PLAYLIST","Mostra/nascondi la playlist",""
"BUTTON_OPENDIR","Apri la cartella contenente la stazione radio.",""
"NOT_RADIO","Questo canale non è un canale radio. La tua musica personalizzata
può essere trovata in ""Definito dall'utente"", ""CSLMusic Mix"" e
canali creati da pacchetti musicali.",""
"NO_RESULTS","Nessun risultato trovato.",""
"DISABLE_CONT_CHECKBOXES_TIP","Fai doppio clic per disabilitare una voce.",""
"USERDEFINED","Definito dall'utente",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Reimposta impostazioni",""
