"LANGUAGE","Português Brasileiro",""
"MOD_DESCRIPTION","Adiciona estações de rádio personalizadas ao jogo",""
"WHATSNEW_L1","Esta mensagem é só para você saber que o mod foi atualizado",""
"WHATSNEW_L2","Para uma lista detalhada de mudanças, por favor visite a Oficina Steam ou o Github",""
"WHATSNEW_L3","Obrigado por seu uso e suporte!",""
"ERROR","Ops! Algo deu errado:",""
"ERROR_COPY","Copiar",""
"ERROR_SUPPORT","Atendimento",""
"TAB_INFO","Informações",""
"TAB_CHANNELS","Canais",""
"TAB_CONT","Conteúdo",""
"TAB_SHORTCUTS","Atalhos",""
"TAB_UI","Interface do Usuário",""
"PERF","Desempenho",""
"PERF_TIP","Se você tiver problemas de desempenho, pode tentar desativar recursos
marcados com um asterisco (*).",""
"CHANNELS_CONT","Canais e Conteúdo",""
"CHANNELS_CONT_TIP","Você pode adicionar seus próprios canais ou músicas instalando pacotes de música,
colocando configurações de estação ou arquivos de música na pasta ""CSLMusicMod_Music""
ou na pasta que contém o conteúdo de rádio padrão do jogo.",""
"TRBL","Solução de Problemas",""
"TRBL_TIP","You can find information in the CSL Music Mod Wiki and the Steam Workshop entry.
Don't forget to enable the setting below if you want to provide a log.",""
"VANILLA_CHANNELS","Gerenciar canais padrão",""
"MUSIC_PACKS","Pacotes de música (Requer recarregamento)",""
"ENABLE_MUSIC_PACKS","Usar música de pacotes de música",""
"CREATE_CHANNELS_FROM_LEGACY","Criar canais a partir de arquivos de música não utilizados",""
"CHANNEL_ALL_CONT","Canal com todo o conteúdo (Requer recarregamento)",""
"CREATE_MIX_CHANNEL","Criar canal ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Incluir músicas padrão",""
"INCLUDE_MUSIC","Incluir música",""
"INCLUDE_BLURBS","Incluir vinhetas",""
"INCLUDE_TALKS","Incluir programas de entrevista",""
"INCLUDE_COMMERCIALS","Incluir comerciais",""
"INCLUDE_BROADCASTS","Incluir transmissões",""
"ADD_FEAT","Recursos adicionais",""
"DISABLED_CONT","Conteúdo pode ser desativado",""
"CONT_SENS","Conteúdo sensível ao contexto",""
"SMOOTH_TRANS","Transições suaves",""
"ADD_CONT_TO_VANILLA","Estender estações padrão com conteúdo personalizado (Requer recarregamento)",""
"RESET_DISABLED","Redefinir conteúdos desativados",""
"RADIO_CONT","Conteúdo da estação de rádio (Requer recarregamento)",""
"ENABLE_MUSIC","Ativar música",""
"ENABLE_BLURBS","Ativar vinhetas",""
"ENABLE_TALKS","Ativar programas de entrevista",""
"ENABLE_COMMERCIALS","Ativar comerciais",""
"ENABLE_BROADCASTS","Ativar transmissões",""
"SHOUTCUT_OPENPLAYLIST","Abrir lista de reprodução e configurações",""
"SHOUTCUT_NEXTTRACK","Próxima faixa",""
"SHOUTCUT_NEXTSTATION","Próxima estação",""
"ENABLE_PLAYLIST","Ativar lista de reprodução*",""
"IMPROVED_RADIO_SELECTION","Seleção aprimorada de estação de rádio (Requer recarregamento)",""
"OPEN_DIR","Botão de abrir diretório da estação",""
"DISABLE_CONT_CHECKBOXES","Caixas de seleção para desativar conteúdo",""
"VOLUMESLIDER","Arraste para alterar o volume da música",""
"SORT_ASCEND","Ordenar ascendente",""
"SORT_DESCEND","Ordenar descendente",""
"CLOSE_PANEL","Fechar este painel",""
"SHOW_PLAYLIST","Mostra/oculta a lista de reprodução",""
"BUTTON_OPENDIR","Abrir pasta que contém a estação de rádio.",""
"NOT_RADIO","Este canal não é um canal de rádio. Sua música personalizada
pode ser encontrada em ""Definido pelo Usuário"", ""CSLMusic Mix"" e
canais criados por pacotes de música.",""
"NO_RESULTS","Nenhum resultado encontrado.",""
"DISABLE_CONT_CHECKBOXES_TIP","Clique duas vezes para desativar uma entrada.",""
"USERDEFINED","Definido pelo Usuário",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Redefinir Configurações",""
