"LANGUAGE","Русский",""
"MOD_DESCRIPTION","Добавляет в игру пользовательские радиостанции",""
"WHATSNEW_L1","Это сообщение просто для того, чтобы сообщить вам, что мод был обновлён.",""
"WHATSNEW_L2","Подробный список изменений доступен в Steam Workshop или на GitHub.",""
"WHATSNEW_L3","Спасибо за использование и поддержку!",""
"ERROR","Упс! Что-то пошло не так:",""
"ERROR_COPY","Копировать",""
"ERROR_SUPPORT","Поддержка",""
"TAB_INFO","Информация",""
"TAB_CHANNELS","Каналы",""
"TAB_CONT","Контент",""
"TAB_SHORTCUTS","Горячие клавиши",""
"TAB_UI","Пользовательский интерфейс",""
"PERF","Производительность",""
"PERF_TIP","Если у вас возникли проблемы с производительностью, попробуйте отключить функции, помеченные звёздочкой (*).",""
"CHANNELS_CONT","Каналы и контент",""
"CHANNELS_CONT_TIP","Вы можете добавить собственные каналы или музыку, установив музыкальные пакеты, поместив конфигурации станций или музыкальные файлы в папку «CSLMusicMod_Music» или в папку, содержащую стандартный радио-контент.",""
"TRBL","Устранение неполадок",""
"TRBL_TIP","Информацию можно найти в CSL Music Mod Wiki и на странице Steam Workshop.
Не забудьте включить «Включить подробное логирование отладки», если хотите предоставить лог.",""
"VANILLA_CHANNELS","Управление стандартными каналами",""
"MUSIC_PACKS","Музыкальные пакеты (требуется перезагрузка)",""
"ENABLE_MUSIC_PACKS","Использовать музыку из музыкальных пакетов",""
"CREATE_CHANNELS_FROM_LEGACY","Создавать каналы из неиспользуемых музыкальных файлов",""
"CHANNEL_ALL_CONT","Канал со всем содержимым (требуется перезагрузка)",""
"CREATE_MIX_CHANNEL","Создать канал «CSLMusic Mix»",""
"INCLUDE_VANILLA_SONGS","Включать стандартные треки",""
"INCLUDE_MUSIC","Включать музыку",""
"INCLUDE_BLURBS","Включать джинглы",""
"INCLUDE_TALKS","Включать разговоры",""
"INCLUDE_COMMERCIALS","Включать рекламу",""
"INCLUDE_BROADCASTS","Включать трансляции",""
"ADD_FEAT","Дополнительные функции",""
"DISABLED_CONT","Контент можно отключить",""
"CONT_SENS","Контекстно-зависимый контент",""
"SMOOTH_TRANS","Плавные переходы",""
"ADD_CONT_TO_VANILLA","Расширить стандартные станции пользовательским контентом (требуется перезагрузка)",""
"RESET_DISABLED","Сбросить отключённый контент",""
"RADIO_CONT","Содержимое радиостанции (требуется перезагрузка)",""
"ENABLE_MUSIC","Включить музыку",""
"ENABLE_BLURBS","Включить джинглы",""
"ENABLE_TALKS","Включить разговоры",""
"ENABLE_COMMERCIALS","Включить рекламу",""
"ENABLE_BROADCASTS","Включить трансляции",""
"SHOUTCUT_OPENPLAYLIST","Открыть плейлист и настройки",""
"SHOUTCUT_NEXTTRACK","Следующий трек",""
"SHOUTCUT_NEXTSTATION","Следующая станция",""
"ENABLE_PLAYLIST","Включить плейлист*",""
"IMPROVED_RADIO_SELECTION","Улучшенный выбор радиостанции (требуется перезагрузка)",""
"OPEN_DIR","Кнопка открытия каталога станций",""
"DISABLE_CONT_CHECKBOXES","Флажки для отключения контента",""
"VOLUMESLIDER","Перетащите для изменения громкости музыки",""
"SORT_ASCEND","Сортировать по возрастанию",""
"SORT_DESCEND","Сортировать по убыванию",""
"CLOSE_PANEL","Закрыть эту панель",""
"SHOW_PLAYLIST","Показывает/скрывает плейлист",""
"BUTTON_OPENDIR","Открыть папку, содержащую радиостанцию.",""
"NOT_RADIO","Этот канал не является радио-каналом. Ваша пользовательская музыка
находится в разделах «Пользовательские», «CSLMusic Mix» и
каналах, созданных музыкальными пакетами.",""
"NO_RESULTS","Результатов не найдено.",""
"DISABLE_CONT_CHECKBOXES_TIP","Двойной щелчок для отключения записи.",""
"USERDEFINED","Пользовательские",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Сброс настроек",""
