"LANGUAGE","Slovenčina",""
"MOD_DESCRIPTION","Pridáva do hry vlastné rádiové stanice",""
"WHATSNEW_L1","Táto správa vás len informuje, že mod bol aktualizovaný.",""
"WHATSNEW_L2","Podrobný zoznam zmien nájdete na Steam Workshop alebo GitHub.",""
"WHATSNEW_L3","Ďakujeme za používanie a podporu!",""
"ERROR","Ojoj! Niečo sa pokazilo:",""
"ERROR_COPY","Kopírovať",""
"ERROR_SUPPORT","Podpora",""
"TAB_INFO","Informácie",""
"TAB_CHANNELS","Kanály",""
"TAB_CONT","Obsah",""
"TAB_SHORTCUTS","Skratky",""
"TAB_UI","Používateľské rozhranie",""
"PERF","Výkon",""
"PERF_TIP","Ak máte problémy s výkonom, môžete skúsiť vypnúť funkcie označené hviezdičkou (*).",""
"CHANNELS_CONT","Kanály a obsah",""
"CHANNELS_CONT_TIP","Vlastné kanály alebo hudbu môžete pridať inštaláciou hudobných balíkov, umiestnením konfigurácií staníc alebo hudobných súborov do priečinka ""CSLMusicMod_Music"" alebo do priečinka obsahujúceho pôvodný rádiový obsah.",""
"TRBL","Riešenie problémov",""
"TRBL_TIP","Informácie nájdete v CSL Music Mod Wiki a na stránke Steam Workshop.
Ak chcete poskytnúť záznam, nezabudnite povoliť nastavenie uvedené nižšie.",""
"VANILLA_CHANNELS","Spravovať pôvodné kanály",""
"MUSIC_PACKS","Hudobné balíky (vyžaduje opätovné načítanie)",""
"ENABLE_MUSIC_PACKS","Používať hudbu z hudobných balíkov",""
"CREATE_CHANNELS_FROM_LEGACY","Vytvoriť kanály z nepoužitých hudobných súborov",""
"CHANNEL_ALL_CONT","Kanál so všetkým obsahom (vyžaduje opätovné načítanie)",""
"CREATE_MIX_CHANNEL","Vytvoriť kanál ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Zahrnúť pôvodné skladby",""
"INCLUDE_MUSIC","Zahrnúť hudbu",""
"INCLUDE_BLURBS","Zahrnúť sloganové vstupy",""
"INCLUDE_TALKS","Zahrnúť rozhovory",""
"INCLUDE_COMMERCIALS","Zahrnúť reklamy",""
"INCLUDE_BROADCASTS","Zahrnúť vysielania",""
"ADD_FEAT","Dodatočné funkcie",""
"DISABLED_CONT","Obsah možno vypnúť",""
"CONT_SENS","Kontextovo citlivý obsah",""
"SMOOTH_TRANS","Plynulé prechody",""
"ADD_CONT_TO_VANILLA","Rozšíriť pôvodné stanice o vlastný obsah (vyžaduje opätovné načítanie)",""
"RESET_DISABLED","Obnoviť vypnutý obsah",""
"RADIO_CONT","Obsah rádiovej stanice (vyžaduje opätovné načítanie)",""
"ENABLE_MUSIC","Povoliť hudbu",""
"ENABLE_BLURBS","Povoliť sloganové vstupy",""
"ENABLE_TALKS","Povoliť rozhovory",""
"ENABLE_COMMERCIALS","Povoliť reklamy",""
"ENABLE_BROADCASTS","Povoliť vysielania",""
"SHOUTCUT_OPENPLAYLIST","Otvoriť zoznam skladieb a nastavenia",""
"SHOUTCUT_NEXTTRACK","Ďalšia skladba",""
"SHOUTCUT_NEXTSTATION","Ďalšia stanica",""
"ENABLE_PLAYLIST","Povoliť zoznam skladieb*",""
"IMPROVED_RADIO_SELECTION","Vylepšený výber rádiových staníc (vyžaduje opätovné načítanie)",""
"OPEN_DIR","Tlačidlo otvorenia zoznamu staníc",""
"DISABLE_CONT_CHECKBOXES","Začiarkavacie políčka na vypnutie obsahu",""
"VOLUMESLIDER","Potiahnutím zmeníte hlasitosť hudby",""
"SORT_ASCEND","Zoradiť vzostupne",""
"SORT_DESCEND","Zoradiť zostupne",""
"CLOSE_PANEL","Zavrieť tento panel",""
"SHOW_PLAYLIST","Zobrazí/skryje zoznam skladieb",""
"BUTTON_OPENDIR","Otvoriť priečinok obsahujúci rádiovú stanicu.",""
"NOT_RADIO","Tento kanál nie je rádiový kanál. Vašu vlastnú hudbu
nájdete v ""Definované používateľom"", ""CSLMusic Mix"" a
kanáloch vytvorených hudobnými balíkmi.",""
"NO_RESULTS","Nenašli sa žiadne výsledky.",""
"DISABLE_CONT_CHECKBOXES_TIP","Dvojklikom vypnete položku.",""
"USERDEFINED","Definované používateľom",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Obnoviť nastavenia",""
