"LANGUAGE","Українська",""
"MOD_DESCRIPTION","Додає до гри власні радіостанції",""
"WHATSNEW_L1","Це повідомлення лише для того, щоб повідомити вас про оновлення мода.",""
"WHATSNEW_L2","Для детального списку змін відвідайте Steam Workshop або GitHub.",""
"WHATSNEW_L3","Дякуємо за використання та підтримку!",""
"ERROR","Ой! Щось пішло не так:",""
"ERROR_COPY","Копіювати",""
"ERROR_SUPPORT","Підтримка",""
"TAB_INFO","Інформація",""
"TAB_CHANNELS","Канали",""
"TAB_CONT","Вміст",""
"TAB_SHORTCUTS","Гарячі клавіші",""
"TAB_UI","Інтерфейс користувача",""
"PERF","Продуктивність",""
"PERF_TIP","Якщо у вас виникають проблеми з продуктивністю, спробуйте вимкнути функції, позначені зірочкою (*).",""
"CHANNELS_CONT","Канали та вміст",""
"CHANNELS_CONT_TIP","Ви можете додавати власні канали або музику, встановлюючи музичні паки, розміщуючи конфігурації станцій або музичні файли у папці ""CSLMusicMod_Music"" або в папці, що містить вбудований радіовміст.",""
"TRBL","Усунення несправностей",""
"TRBL_TIP","Інформацію можна знайти у вікі CSL Music Mod та на сторінці Steam Workshop.
Не забудьте увімкнути ""Увімкнути детальне журналювання налагодження"", якщо хочете надати журнал.",""
"VANILLA_CHANNELS","Керувати вбудованими каналами",""
"MUSIC_PACKS","Музичні паки (потрібне перезавантаження)",""
"ENABLE_MUSIC_PACKS","Використовувати музику з музичних паків",""
"CREATE_CHANNELS_FROM_LEGACY","Створювати канали з невикористаних музичних файлів",""
"CHANNEL_ALL_CONT","Канал з усім вмістом (потрібне перезавантаження)",""
"CREATE_MIX_CHANNEL","Створити канал ""CSLMusic Mix""",""
"INCLUDE_VANILLA_SONGS","Включати вбудовані пісні",""
"INCLUDE_MUSIC","Включати музику",""
"INCLUDE_BLURBS","Включати джингли",""
"INCLUDE_TALKS","Включати розмови",""
"INCLUDE_COMMERCIALS","Включати рекламу",""
"INCLUDE_BROADCASTS","Включати трансляції",""
"ADD_FEAT","Додаткові функції",""
"DISABLED_CONT","Вміст можна вимкнути",""
"CONT_SENS","Контекстно-залежний вміст",""
"SMOOTH_TRANS","Плавні переходи",""
"ADD_CONT_TO_VANILLA","Розширювати вбудовані станції власним вмістом (потрібне перезавантаження)",""
"RESET_DISABLED","Скинути вимкнений вміст",""
"RADIO_CONT","Вміст радіостанції (потрібне перезавантаження)",""
"ENABLE_MUSIC","Увімкнути музику",""
"ENABLE_BLURBS","Увімкнути джингли",""
"ENABLE_TALKS","Увімкнути розмови",""
"ENABLE_COMMERCIALS","Увімкнути рекламу",""
"ENABLE_BROADCASTS","Увімкнути трансляції",""
"SHOUTCUT_OPENPLAYLIST","Відкрити плейлист та налаштування",""
"SHOUTCUT_NEXTTRACK","Наступний трек",""
"SHOUTCUT_NEXTSTATION","Наступна станція",""
"ENABLE_PLAYLIST","Увімкнути плейлист*",""
"IMPROVED_RADIO_SELECTION","Покращений вибір радіостанції (потрібне перезавантаження)",""
"OPEN_DIR","Кнопка відкриття каталогу станцій",""
"DISABLE_CONT_CHECKBOXES","Прапорці для вимкнення вмісту",""
"VOLUMESLIDER","Потягніть, щоб змінити гучність музики",""
"SORT_ASCEND","Сортувати за зростанням",""
"SORT_DESCEND","Сортувати за спаданням",""
"CLOSE_PANEL","Закрити цю панель",""
"SHOW_PLAYLIST","Показує/приховує плейлист",""
"BUTTON_OPENDIR","Відкрити папку з радіостанцією.",""
"NOT_RADIO","Цей канал не є радіоканалом. Вашу власну музику
можна знайти в ""Визначено користувачем"", ""CSLMusic Mix"" та
каналах, створених музичними паками.",""
"NO_RESULTS","Нічого не знайдено.",""
"DISABLE_CONT_CHECKBOXES_TIP","Двічі клацніть, щоб вимкнути запис.",""
"USERDEFINED","Визначено користувачем",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Скинути налаштування",""
